backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CUDA,Win64,Release,7680,4320,18.3337,26.8205,54.5444,37.2849
CUDA,Win64,Release,7680,4320,16.4813,24.8345,60.6748,40.2666
CUDA,Win64,Release,7680,4320,16.342,24.5679,61.192,40.7035
CUDA,Win64,Release,7680,4320,16.4779,24.5555,60.6873,40.7241
CUDA,Win64,Release,7680,4320,16.9109,25.7303,59.1335,38.8647
CUDA,Win64,Release,7680,4320,15.9879,24.0646,62.5473,41.5548
CUDA,Win64,Release,7680,4320,16.4288,24.6246,60.8687,40.6098
CUDA,Win64,Release,7680,4320,16.472,24.6623,60.7091,40.5477
CUDA,Win64,Release,7680,4320,17.8641,27.0151,55.9782,37.0163
CUDA,Win64,Release,7680,4320,16.5482,25.2311,60.4295,39.6336
CUDA,Win64,Release,7680,4320,18.9642,27.2392,52.7309,36.7118
CUDA,Win64,Release,7680,4320,16.6977,24.8077,59.8885,40.3101
CUDA,Win64,Release,7680,4320,16.4755,24.7392,60.6962,40.4217
CUDA,Win64,Release,7680,4320,16.6012,25.3085,60.2366,39.5124
CUDA,Win64,Release,7680,4320,16.9284,25.014,59.0723,39.9776
CUDA,Win64,Release,7680,4320,16.6628,24.9013,60.0139,40.1585
CUDA,Win64,Release,7680,4320,16.5473,24.5843,60.4328,40.6764
CUDA,Win64,Release,7680,4320,16.5671,24.7619,60.3606,40.3846
CUDA,Win64,Release,7680,4320,16.5186,24.6392,60.5378,40.5857
CUDA,Win64,Release,7680,4320,17.4618,26.5523,57.2679,37.6615
CUDA,Win64,Release,7680,4320,16.4786,24.7171,60.6848,40.4578
CUDA,Win64,Release,7680,4320,16.5542,24.7266,60.4076,40.4423
CUDA,Win64,Release,7680,4320,16.2603,24.7246,61.4995,40.4455
CUDA,Win64,Release,7680,4320,16.4876,24.8293,60.6516,40.275
CUDA,Win64,Release,7680,4320,17.1234,25.2344,58.3996,39.6284
CUDA,Win64,Release,7680,4320,16.6907,25.16,59.9136,39.7456
CUDA,Win64,Release,7680,4320,16.3955,24.4935,60.9923,40.8272
CUDA,Win64,Release,7680,4320,16.5042,24.6887,60.5906,40.5044
CUDA,Win64,Release,7680,4320,16.491,25.0047,60.6391,39.9925
CUDA,Win64,Release,7680,4320,17.5637,26.057,56.9356,38.3774
CUDA,Win64,Release,7680,4320,16.5885,24.8199,60.2827,40.2903
CUDA,Win64,Release,7680,4320,17.5555,25.8087,56.9622,38.7466
CUDA,Win64,Release,7680,4320,16.4908,24.7339,60.6399,40.4303
CUDA,Win64,Release,7680,4320,16.2725,24.8607,61.4534,40.2241
CUDA,Win64,Release,7680,4320,17.5341,25.7258,57.0317,38.8715
CUDA,Win64,Release,7680,4320,17.0608,25.1602,58.6139,39.7453
CUDA,Win64,Release,7680,4320,16.4355,24.6916,60.8439,40.4996
CUDA,Win64,Release,7680,4320,17.8101,26.0892,56.1479,38.33
