backend,render_ms,frame_ms,render_fps,frame_fps
CUDA,1.3329,2.0553,750.244,486.547
CUDA,1.0909,1.7139,916.674,583.465
CUDA,1.0709,1.7841,933.794,560.507
CUDA,1.1039,1.8606,905.879,537.461
CUDA,1.1838,1.8854,844.737,530.391
CUDA,1.1598,1.8926,862.218,528.374
CUDA,1.2637,1.9811,791.327,504.77
CUDA,2.1416,2.903,466.941,344.471
CUDA,1.4396,2.1627,694.637,462.385
CUDA,1.4101,2.1048,709.17,475.105
CUDA,1.3993,2.1393,714.643,467.443
CUDA,1.4232,2.3143,702.642,432.096
CUDA,1.5687,2.5913,637.471,385.907
CUDA,1.4042,2.1376,712.149,467.814
CUDA,2.0881,2.8319,478.904,353.12
CUDA,1.423,2.1163,702.741,472.523
CUDA,1.3912,2.0672,718.804,483.746
CUDA,1.2011,1.8948,832.57,527.76
CUDA,1.2901,1.9659,775.134,508.673
CUDA,1.2641,1.9143,791.077,522.384
CUDA,1.2635,1.9809,791.452,504.821
CUDA,1.8097,2.8256,552.578,353.907
CUDA,1.9706,2.7225,507.46,367.309
CUDA,1.4024,2.1087,713.063,474.226
CUDA,1.6903,2.4182,591.611,413.531
CUDA,1.425,2.1589,701.754,463.199
CUDA,1.3972,2.1044,715.717,475.195
CUDA,1.4878,2.2042,672.133,453.679
CUDA,1.4114,2.1228,708.516,471.076
CUDA,2.1996,2.8455,454.628,351.432
CUDA,1.4118,2.1484,708.316,465.463
CUDA,1.5904,2.3136,628.773,432.227
CUDA,1.3948,2.1642,716.949,462.065
CUDA,1.4386,2.1464,695.12,465.896
CUDA,1.4151,2.1441,706.664,466.396
CUDA,1.2745,1.9405,784.621,515.331
CUDA,1.8658,2.5534,535.963,391.635
CUDA,1.2701,1.9392,787.34,515.677
CUDA,1.271,2.0952,786.782,477.281
CUDA,1.399,2.1279,714.796,469.947
CUDA,1.0595,1.7034,943.841,587.061
CUDA,1.0553,1.6607,947.598,602.156
CUDA,1.0738,1.6679,931.272,599.556
CUDA,1.2501,1.9074,799.936,524.274
CUDA,1.0457,1.6353,956.297,611.509
CUDA,0.8778,1.7325,1139.21,577.201
CUDA,1.2365,1.9188,808.734,521.159
CUDA,1.2829,1.9967,779.484,500.826
CUDA,1.0619,1.686,941.708,593.12
CUDA,1.0476,1.6461,954.563,607.497
CUDA,1.2641,1.9015,791.077,525.901
CUDA,1.2675,1.9163,788.955,521.839
CUDA,1.2678,1.9092,788.768,523.78
CUDA,1.2349,1.8826,809.782,531.18
CUDA,2.1293,2.7879,469.638,358.693
CUDA,1.3186,2.176,758.38,459.559
CUDA,1.3394,2.0745,746.603,482.044
CUDA,1.289,2.0566,775.795,486.239
CUDA,1.428,2.1626,700.28,462.406
CUDA,1.3961,2.2825,716.281,438.116
CUDA,1.2179,1.9106,821.086,523.396
CUDA,1.3793,2.0741,725.005,482.137
CUDA,1.3504,2.0737,740.521,482.23
CUDA,1.288,2.0007,776.398,499.825
CUDA,1.2922,1.963,773.874,509.424
CUDA,1.0516,1.6478,950.932,606.87
CUDA,1.0525,1.6733,950.119,597.621
CUDA,1.0544,1.6425,948.407,608.828
CUDA,1.0425,1.6185,959.233,617.856
CUDA,1.05,1.6334,952.381,612.22
CUDA,0.8865,2.906,1128.03,344.116
CUDA,1.4455,2.1703,691.802,460.766
CUDA,1.3937,2.1094,717.515,474.068
CUDA,1.4468,2.1748,691.181,459.812
CUDA,1.4031,2.1251,712.708,470.566
CUDA,1.4179,2.1359,705.268,468.187
CUDA,1.5661,2.2642,638.529,441.657
CUDA,1.5325,2.5506,652.529,392.065
CUDA,1.7016,2.4102,587.682,414.903
CUDA,1.1876,1.89,842.034,529.101
CUDA,1.0679,1.7092,936.417,585.069
CUDA,1.0603,1.7228,943.129,580.45
CUDA,1.2709,1.9547,786.844,511.587
CUDA,1.3005,2.0578,768.935,485.956
CUDA,1.2861,2.1171,777.544,472.344
CUDA,1.3488,2.2653,741.4,441.443
CUDA,2.0432,2.6778,489.428,373.441
CUDA,1.2653,1.9198,790.326,520.888
CUDA,1.2752,1.9501,784.191,512.794
CUDA,1.2507,1.9052,799.552,524.879
