backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CUDA,Win64,Release,1920,1080,1.1735,1.987,852.152,503.271
CUDA,Win64,Release,1920,1080,1.0752,1.8269,930.06,547.375
CUDA,Win64,Release,1920,1080,1.1624,1.8683,860.289,535.246
CUDA,Win64,Release,1920,1080,1.1956,1.9218,836.4,520.346
CUDA,Win64,Release,1920,1080,1.3126,2.2492,761.847,444.603
CUDA,Win64,Release,1920,1080,1.0038,1.7911,996.214,558.316
CUDA,Win64,Release,1920,1080,1.8008,2.5196,555.309,396.888
CUDA,Win64,Release,1920,1080,1.1607,1.8863,861.549,530.138
CUDA,Win64,Release,1920,1080,1.1608,1.8834,861.475,530.955
CUDA,Win64,Release,1920,1080,1.1409,1.8248,876.501,548.005
CUDA,Win64,Release,1920,1080,1.1836,1.8826,844.88,531.18
CUDA,Win64,Release,1920,1080,1.3296,2.0952,752.106,477.281
CUDA,Win64,Release,1920,1080,1.3367,2.1523,748.111,464.619
CUDA,Win64,Release,1920,1080,1.4334,2.274,697.642,439.754
CUDA,Win64,Release,1920,1080,1.1626,1.9688,860.141,507.924
CUDA,Win64,Release,1920,1080,1.194,1.949,837.521,513.084
CUDA,Win64,Release,1920,1080,1.2143,2.0307,823.52,492.441
CUDA,Win64,Release,1920,1080,1.1428,1.8886,875.044,529.493
CUDA,Win64,Release,1920,1080,1.2564,2.0022,795.925,499.451
CUDA,Win64,Release,1920,1080,1.1762,2.1167,850.196,472.434
CUDA,Win64,Release,1920,1080,1.3675,2.2181,731.261,450.836
CUDA,Win64,Release,1920,1080,2.0231,2.8205,494.291,354.547
CUDA,Win64,Release,1920,1080,1.1355,1.862,880.669,537.057
CUDA,Win64,Release,1920,1080,1.1752,1.8805,850.919,531.773
CUDA,Win64,Release,1920,1080,1.3449,2.0852,743.55,479.57
CUDA,Win64,Release,1920,1080,1.1667,1.8747,857.118,533.419
CUDA,Win64,Release,1920,1080,1.1672,2.0625,856.751,484.848
CUDA,Win64,Release,1920,1080,1.5588,2.7197,641.519,367.688
CUDA,Win64,Release,1920,1080,1.8029,2.6485,554.662,377.572
CUDA,Win64,Release,1920,1080,1.2858,2.0994,777.726,476.327
CUDA,Win64,Release,1920,1080,1.2998,2.1027,769.349,475.579
CUDA,Win64,Release,1920,1080,1.258,2.0884,794.913,478.835
CUDA,Win64,Release,1920,1080,1.1448,2.0102,873.515,497.463
CUDA,Win64,Release,1920,1080,1.0961,2.3635,912.326,423.101
CUDA,Win64,Release,1920,1080,1.1767,2.2119,849.834,452.1
CUDA,Win64,Release,1920,1080,1.628,2.4611,614.251,406.322
CUDA,Win64,Release,1920,1080,1.1505,1.9104,869.187,523.451
CUDA,Win64,Release,1920,1080,1.1105,1.7999,900.495,555.586
CUDA,Win64,Release,1920,1080,1.091,1.8616,916.59,537.172
CUDA,Win64,Release,1920,1080,1.0955,1.8278,912.825,547.106
CUDA,Win64,Release,1920,1080,1.1739,1.9971,851.861,500.726
CUDA,Win64,Release,1920,1080,1.3927,2.3341,718.03,428.431
CUDA,Win64,Release,1920,1080,1.3872,2.2396,720.877,446.508
CUDA,Win64,Release,1920,1080,1.0121,1.8195,988.045,549.602
CUDA,Win64,Release,1920,1080,1.1293,2.0503,885.504,487.734
CUDA,Win64,Release,1920,1080,1.3543,2.2852,738.389,437.598
CUDA,Win64,Release,1920,1080,0.9886,1.803,1011.53,554.631
CUDA,Win64,Release,1920,1080,1.2282,2.3696,814.2,422.012
CUDA,Win64,Release,1920,1080,1.9878,2.8181,503.069,354.849
CUDA,Win64,Release,1920,1080,0.9484,1.7258,1054.41,579.441
CUDA,Win64,Release,1920,1080,1.1343,1.8767,881.601,532.85
CUDA,Win64,Release,1920,1080,1.0885,1.8735,918.695,533.76
CUDA,Win64,Release,1920,1080,0.9502,1.691,1052.41,591.366
CUDA,Win64,Release,1920,1080,1.274,2.0308,784.929,492.417
CUDA,Win64,Release,1920,1080,1.1681,1.9827,856.091,504.363
CUDA,Win64,Release,1920,1080,1.3737,2.1848,727.961,457.708
CUDA,Win64,Release,1920,1080,1.1024,1.8747,907.112,533.419
CUDA,Win64,Release,1920,1080,1.1474,1.9244,871.536,519.643
CUDA,Win64,Release,1920,1080,1.0018,1.7792,998.203,562.05
CUDA,Win64,Release,1920,1080,0.9683,1.7307,1032.74,577.801
CUDA,Win64,Release,1920,1080,1.2521,2.1014,798.658,475.873
CUDA,Win64,Release,1920,1080,1.4865,2.2947,672.721,435.787
CUDA,Win64,Release,1920,1080,1.353,2.231,739.098,448.229
CUDA,Win64,Release,1920,1080,1.2417,2.1048,805.347,475.105
CUDA,Win64,Release,1920,1080,1.1317,1.9262,883.626,519.157
CUDA,Win64,Release,1920,1080,1.2025,1.9723,831.601,507.022
CUDA,Win64,Release,1920,1080,1.1758,1.9481,850.485,513.321
CUDA,Win64,Release,1920,1080,1.3874,2.3976,720.773,417.084
CUDA,Win64,Release,1920,1080,1.2203,2.2518,819.471,444.089
CUDA,Win64,Release,1920,1080,1.4104,2.2501,709.019,444.425
CUDA,Win64,Release,1920,1080,1.1619,1.9687,860.659,507.949
CUDA,Win64,Release,1920,1080,1.2261,1.9965,815.594,500.877
CUDA,Win64,Release,1920,1080,1.2412,2.0498,805.672,487.852
CUDA,Win64,Release,1920,1080,1.1814,2.0232,846.453,494.267
CUDA,Win64,Release,1920,1080,1.431,2.4989,698.812,400.176
CUDA,Win64,Release,1920,1080,1.4206,2.6732,703.928,374.083
CUDA,Win64,Release,1920,1080,1.1678,1.9583,856.311,510.647
CUDA,Win64,Release,1920,1080,1.195,1.9852,836.82,503.728
CUDA,Win64,Release,1920,1080,1.3064,2.087,765.462,479.157
CUDA,Win64,Release,1920,1080,1.2919,2.139,774.054,467.508
CUDA,Win64,Release,1920,1080,1.1757,2.0242,850.557,494.022
CUDA,Win64,Release,1920,1080,1.823,2.7643,548.546,361.755
CUDA,Win64,Release,1920,1080,1.5682,2.6445,637.674,378.143
CUDA,Win64,Release,1920,1080,1.2659,2.1266,789.952,470.234
CUDA,Win64,Release,1920,1080,1.1491,1.9524,870.246,512.19
CUDA,Win64,Release,1920,1080,1.1628,1.9406,859.993,515.305
CUDA,Win64,Release,1920,1080,1.1773,1.9831,849.401,504.261
CUDA,Win64,Release,1920,1080,1.3305,2.338,751.597,427.716
CUDA,Win64,Release,1920,1080,1.4809,2.423,675.265,412.712
CUDA,Win64,Release,1920,1080,1.2425,2.0958,804.829,477.145
CUDA,Win64,Release,1920,1080,1.2211,2.0415,818.934,489.836
CUDA,Win64,Release,1920,1080,1.1914,1.9367,839.349,516.342
CUDA,Win64,Release,1920,1080,1.1934,2.0191,837.942,495.27
CUDA,Win64,Release,1920,1080,1.2466,2.0705,802.182,482.975
CUDA,Win64,Release,1920,1080,1.1949,2.0088,836.89,497.81
CUDA,Win64,Release,1920,1080,1.3259,2.2425,754.205,445.931
CUDA,Win64,Release,1920,1080,1.4769,2.6564,677.094,376.449
CUDA,Win64,Release,1920,1080,1.2366,1.9819,808.669,504.566
CUDA,Win64,Release,1920,1080,1.1887,1.914,841.255,522.466
CUDA,Win64,Release,1920,1080,1.4387,2.1735,695.072,460.087
CUDA,Win64,Release,1920,1080,1.3212,2.0787,756.888,481.07
CUDA,Win64,Release,1920,1080,1.1425,1.8516,875.274,540.073
CUDA,Win64,Release,1920,1080,1.2266,2.0592,815.262,485.625
CUDA,Win64,Release,1920,1080,1.6455,2.5668,607.718,389.59
CUDA,Win64,Release,1920,1080,1.8357,2.4972,544.751,400.449
CUDA,Win64,Release,1920,1080,1.2733,2.0202,785.361,495
CUDA,Win64,Release,1920,1080,1.1766,1.8786,849.906,532.311
CUDA,Win64,Release,1920,1080,1.1973,1.8926,835.213,528.374
CUDA,Win64,Release,1920,1080,1.2462,1.932,802.439,517.598
CUDA,Win64,Release,1920,1080,1.3357,2.0808,748.671,480.584
CUDA,Win64,Release,1920,1080,1.1527,1.9441,867.528,514.377
CUDA,Win64,Release,1920,1080,1.2315,2.2663,812.018,441.248
CUDA,Win64,Release,1920,1080,1.3765,2.2446,726.48,445.514
CUDA,Win64,Release,1920,1080,1.0506,1.8248,951.837,548.005
CUDA,Win64,Release,1920,1080,1.1952,1.9698,836.68,507.666
CUDA,Win64,Release,1920,1080,1.2578,2.1405,795.039,467.181
CUDA,Win64,Release,1920,1080,1.1916,2.0293,839.208,492.781
CUDA,Win64,Release,1920,1080,1.272,2.1914,786.164,456.329
CUDA,Win64,Release,1920,1080,1.3847,2.9987,722.178,333.478
CUDA,Win64,Release,1920,1080,1.2282,2.095,814.2,477.327
CUDA,Win64,Release,1920,1080,1.1717,1.9275,853.461,518.807
CUDA,Win64,Release,1920,1080,1.2244,1.989,816.727,502.765
CUDA,Win64,Release,1920,1080,1.2217,2.123,818.532,471.032
CUDA,Win64,Release,1920,1080,1.2512,2.044,799.233,489.237
CUDA,Win64,Release,1920,1080,1.3828,2.3717,723.17,421.638
CUDA,Win64,Release,1920,1080,1.2691,2.4227,787.96,412.763
CUDA,Win64,Release,1920,1080,1.3231,2.1655,755.801,461.787
CUDA,Win64,Release,1920,1080,1.1501,1.8953,869.49,527.621
CUDA,Win64,Release,1920,1080,1.229,1.9656,813.67,508.75
CUDA,Win64,Release,1920,1080,1.0925,1.9352,915.332,516.742
CUDA,Win64,Release,1920,1080,1.1721,1.8828,853.17,531.124
CUDA,Win64,Release,1920,1080,1.1808,1.9438,846.883,514.456
CUDA,Win64,Release,1920,1080,1.4568,2.5827,686.436,387.192
CUDA,Win64,Release,1920,1080,2.0694,2.7722,483.232,360.724
CUDA,Win64,Release,1920,1080,1.1435,1.8698,874.508,534.817
CUDA,Win64,Release,1920,1080,1.2136,1.9627,823.995,509.502
CUDA,Win64,Release,1920,1080,1.2107,1.9262,825.968,519.157
CUDA,Win64,Release,1920,1080,1.1466,1.8574,872.144,538.387
CUDA,Win64,Release,1920,1080,1.1247,1.862,889.126,537.057
CUDA,Win64,Release,1920,1080,1.361,2.1941,734.754,455.768
CUDA,Win64,Release,1920,1080,1.1891,2.0694,840.972,483.232
CUDA,Win64,Release,1920,1080,1.235,1.9536,809.717,511.876
CUDA,Win64,Release,1920,1080,1.1915,1.9314,839.278,517.759
CUDA,Win64,Release,1920,1080,1.163,1.9319,859.845,517.625
CUDA,Win64,Release,1920,1080,1.2405,1.9515,806.127,512.426
CUDA,Win64,Release,1920,1080,1.1993,1.9133,833.82,522.657
CUDA,Win64,Release,1920,1080,1.2114,1.9442,825.491,514.35
CUDA,Win64,Release,1920,1080,1.2655,2.121,790.202,471.476
CUDA,Win64,Release,1920,1080,1.3829,2.1719,723.118,460.426
CUDA,Win64,Release,1920,1080,1.1537,1.8927,866.776,528.346
CUDA,Win64,Release,1920,1080,1.0718,1.7904,933.01,558.534
CUDA,Win64,Release,1920,1080,1.1283,1.8543,886.289,539.287
CUDA,Win64,Release,1920,1080,1.1577,1.8554,863.782,538.967
CUDA,Win64,Release,1920,1080,1.2177,1.9203,821.22,520.752
CUDA,Win64,Release,1920,1080,1.4393,2.3772,694.782,420.663
CUDA,Win64,Release,1920,1080,1.4538,2.2319,687.853,448.049
CUDA,Win64,Release,1920,1080,1.786,2.5409,559.91,393.561
CUDA,Win64,Release,1920,1080,1.1572,1.9017,864.155,525.845
CUDA,Win64,Release,1920,1080,1.2423,1.9653,804.958,508.828
CUDA,Win64,Release,1920,1080,1.2078,1.9019,827.952,525.79
CUDA,Win64,Release,1920,1080,1.1809,1.9002,846.812,526.26
CUDA,Win64,Release,1920,1080,1.2446,1.9535,803.471,511.902
CUDA,Win64,Release,1920,1080,1.3281,2.1365,752.955,468.055
CUDA,Win64,Release,1920,1080,1.2204,2.5863,819.404,386.653
CUDA,Win64,Release,1920,1080,1.0819,1.7797,924.3,561.892
CUDA,Win64,Release,1920,1080,1.2044,1.9431,830.289,514.642
CUDA,Win64,Release,1920,1080,1.2533,1.9504,797.894,512.715
CUDA,Win64,Release,1920,1080,1.2301,1.9399,812.942,515.49
CUDA,Win64,Release,1920,1080,1.1677,1.8706,856.384,534.588
CUDA,Win64,Release,1920,1080,1.1602,1.8655,861.92,536.049
CUDA,Win64,Release,1920,1080,1.2865,2.1106,777.303,473.799
CUDA,Win64,Release,1920,1080,1.6981,2.4597,588.893,406.554
CUDA,Win64,Release,1920,1080,1.4961,2.2244,668.405,449.559
CUDA,Win64,Release,1920,1080,1.0278,1.8042,972.952,554.262
CUDA,Win64,Release,1920,1080,0.983,1.7091,1017.29,585.103
CUDA,Win64,Release,1920,1080,1.1623,1.8531,860.363,539.636
CUDA,Win64,Release,1920,1080,1.169,1.9965,855.432,500.877
CUDA,Win64,Release,1920,1080,1.259,2.0733,794.281,482.323
CUDA,Win64,Release,1920,1080,2.0971,3.124,476.849,320.102
CUDA,Win64,Release,1920,1080,1.136,1.9343,880.282,516.983
CUDA,Win64,Release,1920,1080,1.0094,1.7407,990.688,574.482
CUDA,Win64,Release,1920,1080,0.9521,1.6846,1050.31,593.613
CUDA,Win64,Release,1920,1080,1.3088,2.2024,764.059,454.05
CUDA,Win64,Release,1920,1080,1.5121,2.3321,661.332,428.798
CUDA,Win64,Release,1920,1080,2.2766,3.1099,439.251,321.554
CUDA,Win64,Release,1920,1080,1.0993,1.7983,909.67,556.081
CUDA,Win64,Release,1920,1080,1.263,2.0171,791.766,495.761
CUDA,Win64,Release,1920,1080,1.1845,1.9433,844.238,514.589
CUDA,Win64,Release,1920,1080,1.2804,2.065,781.006,484.262
CUDA,Win64,Release,1920,1080,1.2088,1.957,827.267,510.986
CUDA,Win64,Release,1920,1080,1.4006,2.2962,713.98,435.502
CUDA,Win64,Release,1920,1080,1.5597,2.3401,641.149,427.332
CUDA,Win64,Release,1920,1080,1.1737,1.9556,852.006,511.352
CUDA,Win64,Release,1920,1080,1.2447,1.9869,803.406,503.297
CUDA,Win64,Release,1920,1080,1.1807,1.9181,846.955,521.349
CUDA,Win64,Release,1920,1080,1.142,1.9036,875.657,525.32
